artist,minimum,LF,RF,maximum,na.rm,out.of.range,unusual,description,feature
All Get Out,-14.2730407715,-16.352985441792498,-5.0958189368075,-6.1270198822,TRUE,FALSE,FALSE,Within Range,overall_loudness
Manchester Orchestra,-24.3416633606,-20.21573162074,-5.65656375886,-6.2572479248,TRUE,FALSE,FALSE,Within Range,overall_loudness
The Front Bottoms,-11.0341930389,-9.652404308314999,-6.812595844265,-5.70879554749,TRUE,FALSE,TRUE,Unusual,overall_loudness
All Get Out,0.016470964998,0.011693669250150003,0.0362917289604,0.0455353371799,TRUE,FALSE,FALSE,Within Range,spectral_energy
Manchester Orchestra,0.00962408259511,-0.0032336022705500046,0.04465722851455001,0.0518325716257,TRUE,FALSE,FALSE,Within Range,spectral_energy
The Front Bottoms,0.0217795856297,0.022122034802999995,0.0461040791124,0.0506899133325,TRUE,FALSE,FALSE,Within Range,spectral_energy
All Get Out,0.843913197517,0.7652322575431253,1.184825815262375,1.30302810669,TRUE,FALSE,FALSE,Within Range,danceability
Manchester Orchestra,0.776896297932,0.6482966542224999,1.2050299048435,1.40347576141,TRUE,FALSE,FALSE,Within Range,danceability
The Front Bottoms,0.91287279129,0.8647371530399999,1.24014341832,1.33414626122,TRUE,TRUE,FALSE,Out of Range,danceability
All Get Out,84.9143676758,95.28631114962502,149.76060581187497,162.923934937,TRUE,FALSE,FALSE,Within Range,tempo
Manchester Orchestra,67.1476821899,71.175098419,160.300197601,184.570068359,TRUE,FALSE,FALSE,Within Range,tempo
The Front Bottoms,80.829574585,82.991916656,157.054576874,165.668838501,TRUE,FALSE,FALSE,Within Range,tempo
All Get Out,163.5,134.56537056037502,261.029279708625,377.867034912,TRUE,FALSE,FALSE,Within Range,duration
Manchester Orchestra,102.42666626,79.14665985050001,320.6666641235,434.359985352,TRUE,FALSE,FALSE,Within Range,duration
The Front Bottoms,108.486778259,127.14418792549999,258.4824905405,297.346679688,TRUE,FALSE,FALSE,Within Range,duration
All Get Out,0.036983910948,0.022986614145312504,0.0814630789682375,0.0840472429991,TRUE,FALSE,FALSE,Within Range,zerocrossingrate
Manchester Orchestra,0.0206635873765,0.0020241476594499985,0.06764783337715,0.0889744311571,TRUE,FALSE,FALSE,Within Range,zerocrossingrate
The Front Bottoms,0.04312479496,0.03917196393019999,0.074815928936,0.106284059584,TRUE,TRUE,TRUE,Out of Range,zerocrossingrate
All Get Out,0.42788168788,0.25921680033237526,1.050372168421625,1.28797268867,TRUE,FALSE,FALSE,Within Range,spectral_strongpeak
Manchester Orchestra,0.424390226603,0.11332839727400018,1.0667170882219998,1.34550380707,TRUE,FALSE,FALSE,Within Range,spectral_strongpeak
The Front Bottoms,0.518905520439,0.3791518807430001,0.9896519780149999,1.36069560051,TRUE,FALSE,FALSE,Within Range,spectral_strongpeak
All Get Out,2620015.25,3162397.09375,4788882.53125,4758639.5,TRUE,TRUE,TRUE,Out of Range,spectral_spread
Manchester Orchestra,1937052.25,1668651,4817223,5845988.5,TRUE,FALSE,TRUE,Unusual,spectral_spread
The Front Bottoms,3510343.75,3538674.5,5508843.5,5888673,TRUE,FALSE,FALSE,Within Range,spectral_spread
All Get Out,1.13602507114,0.8070780038799996,2.014748871325,4.12035322189,TRUE,FALSE,TRUE,Unusual,spectral_skewness
Manchester Orchestra,1.16037845612,-0.4898808002499997,3.6984150409699996,6.74691963196,TRUE,FALSE,FALSE,Within Range,spectral_skewness
The Front Bottoms,0.873631238937,0.6345764398499999,1.95819294453,2.04340100288,TRUE,TRUE,TRUE,Out of Range,spectral_skewness
All Get Out,935.909057617,701.9130401650008,2250.9546356199994,2520.04125977,TRUE,TRUE,TRUE,Out of Range,spectral_rolloff
Manchester Orchestra,518.867919922,151.26593017000005,1600.193786626,2566.66723633,TRUE,FALSE,FALSE,Within Range,spectral_rolloff
The Front Bottoms,927.041259766,740.5761718800004,2001.2353515599998,3190.28588867,TRUE,TRUE,TRUE,Out of Range,spectral_rolloff
All Get Out,0.00317969406024,0.00310101528884,0.0056640165275899995,0.00628577405587,TRUE,FALSE,FALSE,Within Range,spectral_rms
Manchester Orchestra,0.0019821007736,0.0017641184386,0.0062983438838199995,0.00676948437467,TRUE,FALSE,FALSE,Within Range,spectral_rms
The Front Bottoms,0.00396269606426,0.004077841760594999,0.006482784403485001,0.00663769571111,TRUE,FALSE,FALSE,Within Range,spectral_rms
All Get Out,3.02692317963,-0.36353129148874785,8.83396118879875,40.100025177,TRUE,FALSE,TRUE,Unusual,spectral_kurtosis
Manchester Orchestra,3.36056804657,-13.575888872074998,26.127237558295,98.5811462402,TRUE,FALSE,TRUE,Unusual,spectral_kurtosis
